,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
66,Opponent,6,in_play,Backhand,Topspin,88,19,0,0,no_mans_land,deuce,far,-1.299623,21.262892,no_mans_land,ad_alley,near,-4.437253,0.42926,0.693916,down the line,In,False,12:58:20,745.47998,0,,,,,,,,,,,swapped srv
67,Player,7,in_play,Forehand,Topspin,65,19,0,0,no_mans_land,ad,near,-2.78228,4.649304,no_mans_land,deuce,far,-0.679268,24.359285,1.338651,down the line,In,False,12:58:22,747.280029,0,,,,,,,,,,,swapped srv
68,Opponent,8,in_play,Backhand,Flat,86,19,0,0,no_mans_land,ad,far,1.65866,18.73196,no_mans_land,ad,near,-3.696536,-0.272876,1.002404,cross court,In,False,12:58:23,748.880005,0,,,,,,,,,,,swapped srv
69,Player,9,in_play,Backhand,Flat,77,19,0,0,service_box,deuce,far,-0.557335,11.88,no_mans_land,ad,far,2.856531,24.854141,1.058722,down the line,Net,False,12:58:24,750.039978,0,,,,,,,,,,,swapped srv
70,Player,1,serve,Serve,Slice,152,20,0,0,service_box,ad,near,-3.074288,6.984945,no_mans_land,ad,far,0.509655,23.314812,2.496193,out wide,In,False,12:58:52,777.880005,1,,,,,,,,,,,swapped srv
71,Opponent,2,return,Backhand,Flat,73,20,0,0,no_mans_land,deuce,far,-0.893117,20.078465,out,ad_alley,near,-4.780454,-0.635273,0.887344,down the line,In,False,12:58:53,778.700012,1,,,,,,,,,,,swapped srv
72,Player,3,serve_plus_one,Forehand,Flat,110,20,0,0,service_box,ad,near,-2.525861,7.662744,out,deuce,far,-0.193256,26.367445,1.068285,down the line,In,False,12:58:55,780.23999,1,,,,,,,,,,,swapped srv
73,Opponent,4,return_plus_one,Backhand,Flat,82,20,0,0,service_box,ad,far,2.37361,16.54705,no_mans_land,ad,near,-3.631356,-0.392171,0.569537,cross court,In,False,12:58:56,781.580017,1,,,,,,,,,,,swapped srv
74,Player,5,in_play,Backhand,Flat,102,20,0,0,no_mans_land,ad,near,-2.449906,5.1456,no_mans_land,ad,far,4.075854,24.763338,0.847082,cross court,In,False,12:58:57,783.080017,1,,,,,,,,,,,swapped srv
75,Opponent,6,in_play,Backhand,Flat,86,20,0,0,service_box,deuce,near,1.133404,11.88,no_mans_land,ad,near,-3.536263,-0.322073,0.809484,down the line,Net,False,12:58:59,784.219971,1,,,,,,,,,,,swapped srv
76,Player,1,serve,Serve,Flat,52,22,0,0,service_box,deuce,near,1.257919,5.631284,no_mans_land,deuce,far,-1.753208,24.851679,2.694554,down the T,In,False,12:59:25,810.580017,1,,,,,,,,,,,swapped srv
77,Opponent,2,return,Backhand,Flat,67,22,0,0,no_mans_land,ad,far,1.856097,18.601179,no_mans_land,deuce,near,1.182457,0.995765,0.986925,inside in,In,False,12:59:27,812.320007,1,,,,,,,,,,,swapped srv
78,Player,3,serve_plus_one,Backhand,Topspin,117,22,0,0,no_mans_land,ad,near,-1.244919,4.714723,out,ad,far,2.012729,25.09037,0.918236,cross court,In,False,12:59:28,813.97998,1,,,,,,,,,,,swapped srv
79,Opponent,4,return_plus_one,Backhand,Flat,94,22,0,0,service_box,deuce,far,-0.966748,17.841873,no_mans_land,ad,near,-2.082496,0.558309,0.816707,down the line,In,False,12:59:30,815.179993,1,,,,,,,,,,,swapped srv
80,Player,5,in_play,Forehand,Topspin,106,22,0,0,no_mans_land,ad,near,-1.354884,5.213271,no_mans_land,deuce,far,-1.03717,24.969185,0.960207,down the line,In,False,12:59:31,816.380005,1,,,,,,,,,,,swapped srv
81,Opponent,6,in_play,Backhand,Flat,83,22,0,0,service_box,ad,near,-1.465819,11.88,no_mans_land,ad,near,-1.948474,0.664653,0.79917,cross court,Net,False,12:59:32,817.380005,1,,,,,,,,,,,swapped srv
82,Player,1,serve,Serve,Flat,137,23,0,0,service_box,ad,near,-3.90397,5.773529,no_mans_land,ad,far,0.767486,24.835941,2.507197,out wide,In,False,12:59:50,835.26001,1,,,,,,,,,,,swapped srv
83,Opponent,2,return,Backhand,Flat,84,23,0,0,no_mans_land,deuce,far,-0.830371,20.636568,out,ad_alley,near,-5.249174,-1.251455,0.932504,down the line,In,False,12:59:51,836.179993,1,,,,,,,,,,,swapped srv
84,Player,3,serve_plus_one,Forehand,Topspin,94,23,0,0,service_box,ad,near,-2.962983,6.218572,out,deuce,far,-0.422339,26.62471,1.10461,down the line,In,False,12:59:52,837.679993,1,,,,,,,,,,,swapped srv
85,Opponent,4,return_plus_one,Backhand,Flat,69,23,0,0,service_box,deuce,far,-1.12263,16.810352,no_mans_land,ad,near,-3.666131,-0.126914,0.727144,down the line,In,False,12:59:53,838.820007,1,,,,,,,,,,,swapped srv
