,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
352,Opponent,1,serve,Serve,Kick,104,129,0,0,service_box,ad,far,2.271213,14.840516,no_mans_land,ad,near,-1.026426,1.093825,2.435337,out wide,In,False,16:37:01,3495.080078,1,,,,,,,,,,,
353,Player,2,return,Backhand,Topspin,104,129,0,0,no_mans_land,deuce,near,0.373556,4.688174,no_mans_land,ad,far,3.888098,24.348473,1.110408,down the line,In,False,16:37:01,3495.97998,1,,,,,,,,,,,
354,Opponent,3,serve_plus_one,Forehand,Topspin,90,129,0,0,out,deuce,far,-1.837044,24.191984,no_mans_land,ad,near,-0.181936,0.827386,0.757233,inside in,Out,False,16:37:03,3497.060059,1,,,,,,,,,,,
355,Player,0,return_plus_one,Forehand,Topspin,78,129,0,0,no_mans_land,deuce_alley,near,4.736009,0.299651,out,deuce,far,-1.824034,26.098528,1.062719,down the line,Out,False,16:37:04,3498.280029,1,,,,,,,,,,,
356,Opponent,1,serve,Serve,Slice,116,130,0,0,service_box,deuce,far,-0.641099,14.881067,no_mans_land,deuce,near,0.585219,0.529916,2.396142,down the T,In,False,16:37:30,3524.52002,0,,,,,,,,,,,
357,Player,0,none,Backhand,Slice,101,131,0,0,no_mans_land,deuce,near,1.595725,0.268064,no_mans_land,deuce,far,-0.893626,24.976366,1.865916,inside out,In,False,16:37:31,3525.379883,1,,,,,,,,,,,
358,Opponent,1,serve,Serve,Flat,131,132,0,0,service_box,ad,far,0.416819,16.435677,no_mans_land,ad,near,-1.284277,0.199791,2.541718,down the T,In,False,16:37:56,3551.02002,0,,,,,,,,,,,
359,Player,2,return,Forehand,Flat,48,132,0,0,service_box,ad,near,-5.0,7.24789,out,ad,far,1.292699,25.343046,1.318486,inside out,Out,False,16:37:57,3551.679932,0,Out,In,-1.93651,7.24789,-5.0,7.24789,,,,,
360,Player,1,serve,Serve,Slice,138,133,0,0,service_box,deuce,far,-0.297959,18.113962,no_mans_land,deuce,far,-0.84413,23.758675,2.679411,down the T,Net,False,16:38:26,3580.800049,-1,,,,,,,,,,,
361,Opponent,0,none,Backhand,Topspin,73,134,0,0,no_mans_land,ad,far,2.992008,18.351494,no_mans_land,deuce,near,1.046927,2.800931,1.002203,inside in,In,False,16:38:36,3590.679932,0,,,,,,,,,,,
362,Player,0,none,Backhand,Topspin,53,134,0,0,service_box,deuce_alley,near,5.153151,6.505104,service_box,ad_alley,far,4.423209,15.635814,1.222258,down the line,Out,False,16:38:38,3592.780029,0,,,,,,,,,,,
363,Player,1,serve,Serve,Flat,172,135,0,0,service_box,ad,near,-0.692256,5.0,out,ad,far,0.638292,25.261471,2.600986,down the T,Out,False,16:38:57,3611.47998,-1,Out,In,-0.692256,6.351611,-0.692256,5.0,,,,,
364,Opponent,0,return,Forehand,Flat,75,135,0,0,no_mans_land,deuce,far,-2.17119,18.33843,out,ad,near,-1.504366,-1.751382,0.86731,inside in,In,False,16:38:58,3612.159912,-1,,,,,,,,,,,
