,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Video Time_2,Result2,comment,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2
70,Opponent,0,none,Backhand,Topspin,108,27,0,0,no_mans_land,deuce,far,-0.457247,20.00016,out,deuce,near,0.990797,-1.695674,0.991935,inside out,In,False,14:36:17,6327.859985,0,463.859985,,invalid,,,,,,,,,
71,Player,-1,none,Backhand,Topspin,95,27,0,0,no_mans_land,deuce,far,-2.357047,11.88,no_mans_land,deuce,far,-1.320526,23.038603,0.630696,inside out,Net,False,14:36:18,6328.820007,0,464.820007,,invalid,,,,,,,,,
72,Player,-2,none,Forehand,Topspin,61,27,0,0,service_box,deuce,far,-1.986446,11.88,out,deuce,far,-3.410522,25.411039,1.055134,cross court,Net,False,14:36:19,6329.459991,0,465.459991,,invalid,,,,,,,,,
73,Opponent,0,none,Forehand,Topspin,93,28,0,0,no_mans_land,ad,far,0.571451,19.436361,out,ad,near,-0.66587,-1.614595,1.144574,inside out,In,False,14:36:43,6353.920013,0,489.920013,,,,,,,,,,,
74,Player,1,none,Forehand,Flat,95,28,0,0,service_box,ad,near,-1.695539,6.791455,out,ad,far,0.966454,26.319218,1.003238,inside out,In,False,14:36:45,6355.359985,0,491.359985,,,,,,,,,,,
75,Opponent,2,none,Backhand,Topspin,97,28,0,0,no_mans_land,deuce,far,-0.503728,20.311203,out,ad,near,-3.224263,-0.794879,0.505715,down the line,In,False,14:36:46,6356.73999,0,492.73999,,,,,,,,,,,
76,Player,3,none,Forehand,Topspin,80,28,0,0,no_mans_land,ad,near,-1.567527,5.42277,out,deuce,far,-0.156609,25.631769,0.857843,down the line,In,False,14:36:47,6357.940002,0,493.940002,,,,,,,,,,,
77,Opponent,4,none,Forehand,Flat,87,28,0,0,no_mans_land,deuce,far,-3.270289,20.001743,no_mans_land,ad,near,-2.114365,-0.450067,0.943146,inside in,In,False,14:36:49,6359.519989,0,495.519989,,,,,,,,,,,
78,Player,5,none,Forehand,Topspin,74,28,0,0,service_box,deuce,near,1.653177,6.400204,out,deuce,far,-3.415423,26.104403,0.890171,cross court,In,False,14:36:50,6360.579987,0,496.579987,,,,,,,,,,,
79,Opponent,6,none,Forehand,Topspin,92,28,0,0,no_mans_land,ad,far,2.045511,18.561129,no_mans_land,deuce,near,2.975811,0.242482,1.009604,down the line,In,False,14:36:52,6362.179993,0,498.179993,,,,,,,,,,,
